 ID OptPost InstType gender reading science OptPre Attendance IEP 
                                       4  50  1  0  368  339  50  14  0
                                       5  67  1  0  372  389  50  11  0
                                       6  61  1  0  360  380  30  13  0
                                       8  92  1  0  378  380  67  12  0
                                      12  59  1  1  385  365  42  15  0
                                        13  16  1  1  382  373  8  9  0
                                       15  42  1  0  410  390  8  15  0
                                      16  69  1  1  402  356  12  14  0
                                       17  42  1  1  378  380  42  8  0
                                      18  59  1  1  342  351  50  15  0
                                       21  44  1  0  402  370  0  15  0
                                      22  52  1  1  422  210  25  15  1
                                      24  84  1  0  342  351  50  15  0
                                      25  91  1  0  382  351  83  14  0
                                      28  84  1  0  400  369  17  15  0
                                      29  59  1  0  382  356  17  15  0
                                      30  84  1  0  382  356  24  15  0
                                      31  84  1  1  410  369  44  15  0
                                      33  59  1  0  382  376  44  13  0
                                      34  67  1  0  380  369  44  15  0
                                      35  67  1  1  378  360  28  15  0
                                      36  67  0  1  419  383  55  15  0
                                      37  70  0  1  356  369  58  14  1
                                      39  50  0  0  394  365  42  10  0
                                      40  84  0  0  344  356  71  15  0
                                      44  50  0  1  340  365  41  13  0
                                       46  20  0  0  356  345  15  7  0
                                      48  46  0  0  413  400  42  14  0
                                       49  42  0  1  415  357  17  7  0
                                      51  44  0  0  346  331  44  14  0
                                      52  46  0  1  382  383  16  13  0
                                       53  50  0  0  413  393  32  5  0
                                       54  55  0  0  376  391  50  7  0
                                      55  75  0  1  356  365  42  10  1
                                      56  50  0  0  382  400  32  14  1
                                       57  39  0  0  385  351  30  4  0
                                       60  55  0  1  385  373  42  7  0
