clutch treatment hatched   n 
  1        1        0      6      
  2        1        0     13      
  3        1        0     10      
  4        1        0     16      
  5        1        0     32      
  6        1        0      7      
  7        1        0     21      
  1        2        3      6 
  2        2        0     13 
  3        2        8     10 
  4        2       10     16 
  5        2       25     28 
  6        2        7      7 
  7        2       10     20 
  1        3        0      6
  2        3        0     13
  3        3        8     10
  4        3        9     16
  5        3       23     30
  6        3        5      7
  7        3        4     20
